_key,SpaceBud #,Type,Type Color,Emotion,Background,Background_Color,Belt,Belt_Pipe,Belt_Pipe_Color,chestplate ,Chestplate_Color,Covered_Helmet,Covered_Helmet_Color,Gloves,Gloves_Color,Suit,Star_Suit,Camo_Suit,Suit_Color,Watch,Wool_Boots,Special_Background,Amulet,Amulet_Position,Virtual_Reality,Eye_Patch,Ski_Goggles,Snorkel,X-Ray,Sword,Sword_Color,Sun_Glasses,Revolver,Jetpack,Backpack,Pistol,Pistol_Color,Umbrella,Umbrella_Color,Flag,Cardano_Coin,Cardano_Coin_Color,Flowers,Axe,Harpoon,Harpoon_Color,Hockey_Stick,Bazooka,Anchor,Arc,Wine,Jo-Jo,Blaster,Lamp_Fish,Baguette,Candle,Binoculars,SPO,gadget_count,left_hand,right_hand,both_hands
1155,spacebud #1155,arcane,green,classic,background,green,none,none,none,chestplate ,purple,none,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,classic,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic gold cardano coin,flowers,none
1156,spacebud #1156,robot,black,happy,background,green,none,none,none,chestplate ,yellow,covered helmet,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1157,spacebud #1157,cat,blue,happy,background,cyan,belt,none,none,chestplate ,green,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,spo,4,none,none,spo
1158,spacebud #1158,frog,blue,classic,background,blue,belt,pipe,red,chestplate ,purple,covered helmet,classic,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1159,spacebud #1159,parrot,green,classic,special background,blue gradient,none,none,none,chestplate ,orange,none,n/a,gloves,light,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1160,spacebud #1160,arcane,blue,classic,special background,blue circular gradient,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,black,camo,none,camo suit,red,none,none,special background,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,7,none,none,anchor
1161,spacebud #1161,tiger,yellow,angry,background,green,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,none,amulet,left hand,none,none,none,snorkel,none,none,n/a,none,none,jetpack,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,amulet,none,none
1162,spacebud #1162,bear,white,joking,background,cyan,belt,none,none,chestplate ,green,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1163,spacebud #1163,dog,light,joking,background,cyan,belt,pipe,red,chestplate ,orange,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1164,spacebud #1164,bear,panda,angry,background,blue,belt,pipe,red,chestplate ,yellow,covered helmet,classic,gloves,blue,classic,none,none,pink,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1165,spacebud #1165,ape,purple,shocked,special background,orange gradient,belt,pipe,black,chestplate ,red,covered helmet,classic,gloves,blue,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,axe,none
1166,spacebud #1166,bear,black,joking,background,dark,belt,none,none,chestplate ,blue,none,n/a,gloves,light,camo,none,camo suit,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,4,none,none,anchor
1167,spacebud #1167,lion,gray,serious,background,purple,belt,none,none,chestplate ,green,none,n/a,gloves,black,classic,none,none,classic,watch,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1168,spacebud #1168,parrot,blue,classic,background,blue,none,none,none,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,jo-jo,none,none,none,none,none,none,3,jo-jo,none,none
1169,spacebud #1169,rhino,classic,classic,background,green,none,none,none,chestplate ,yellow,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,spo,2,none,none,spo
1170,spacebud #1170,robot,black,laughing,background,green,belt,pipe,red,chestplate ,purple,covered helmet,classic,gloves,blue,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,flowers,none,none
1171,spacebud #1171,cat,yellow,joking,background,dark,belt,none,none,chestplate ,orange,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,cardano,classic,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic gold cardano coin,flag,none
1172,spacebud #1172,dog,light,joking,background,dark,belt,pipe,red,none,none,none,n/a,gloves,pink,classic,none,none,pink,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1173,spacebud #1173,cat,black,joking,background,blue,belt,none,none,chestplate ,red,none,n/a,gloves,light,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1174,spacebud #1174,arcane,green,classic,background,cyan,belt,none,none,chestplate ,blue,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,hockey stick,none,none,none,none,none,none,none,none,none,none,none,3,none,hockey stick,none
1175,spacebud #1175,ape,brown,angry,background,blue,belt,pipe,blue,chestplate ,red,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1176,spacebud #1176,tiger,orange,joking,background,dark,belt,pipe,purple,none,none,none,n/a,gloves,blue,camo,none,camo suit,blue,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,candle,none,none,3,candle,none,none
1177,spacebud #1177,cat,red,joking,background,blue,belt,none,light,none,none,none,n/a,gloves,black,camo,none,camo suit,brown,none,wool boots,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,pink pistol,none,none
1178,spacebud #1178,robot,white,laughing,background,green,belt,none,none,chestplate ,yellow,none,n/a,gloves,light,star,star suit,none,blue,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,jo-jo,none,none,none,none,none,none,5,jo-jo,none,none
1179,spacebud #1179,rhino,classic,classic,background,dark,belt,pipe,cyan,chestplate ,green,covered helmet,classic,gloves,red,star,star suit,none,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1180,spacebud #1180,alien,yellow,happy,background,cyan,belt,pipe,red,chestplate ,orange,none,n/a,gloves,red,classic,none,none,classic,none,none,none,amulet,neck,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1181,spacebud #1181,elephant,classic,classic,background,green,belt,none,none,chestplate ,green,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1182,spacebud #1182,bear,black,greedy,background,purple,belt,none,none,chestplate ,green,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,jetpack,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,yellow,none,none,none,none,none,none,none,none,none,none,none,none,4,yellow harpoon,none,none
1183,spacebud #1183,tiger,orange,joking,background,purple,belt,pipe,light,chestplate ,green,none,n/a,gloves,pink,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1184,spacebud #1184,ape,blue,shocked,background,purple,none,none,none,chestplate ,green,covered helmet,n/a,gloves,blue,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,bazooka,none,none,none,none,none,none,none,none,none,none,4,none,none,bazooka
1185,spacebud #1185,robot,white,happy,background,cyan,none,none,none,chestplate ,red,covered helmet,classic,gloves,black,classic,none,none,classic,none,wool boots,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1186,spacebud #1186,parrot,red,classic,background,purple,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,pink,star,star suit,none,blue,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1187,spacebud #1187,cat,red,happy,special background,orange gradient,belt,pipe,red,chestplate ,purple,none,n/a,gloves,purple,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,pink pistol,flag,none
1188,spacebud #1188,cat,gray,angry,background,cyan,belt,pipe,red,chestplate ,yellow,covered helmet,classic,gloves,purple,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,wine,none,none,none,none,none,none,none,6,wine,none,none
1189,spacebud #1189,robot,orange,angry,background,blue,belt,none,none,chestplate ,blue,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,jetpack,none,none,n/a,none,n/a,flag,cardano,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,pink cardano coin,flag,none
1190,spacebud #1190,alien,green,amazed,background,blue,none,none,none,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1191,spacebud #1191,dog,light,happy,background,green,belt,pipe,black,chestplate ,orange,none,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1192,spacebud #1192,cat,blue,sad,background,green,belt,none,none,chestplate ,red,none,n/a,gloves,blue,star,star suit,none,light,none,none,none,amulet,left hand,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,amulet,none,none
1193,spacebud #1193,ape,blue,shocked,background,dark,none,none,none,chestplate ,blue,covered helmet,n/a,gloves,blue,classic,none,none,classic,watch,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,revolver,none,none
1194,spacebud #1194,tiger,blue,angry,background,green,belt,pipe,light,chestplate ,red,covered helmet,classic,gloves,purple,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,blaster,none,none,none,none,none,6,blaster,none,none
1195,spacebud #1195,alien,yellow,joking,background,green,belt,pipe,purple,none,none,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none
1196,spacebud #1196,robot,yellow,laughing,background,purple,belt,pipe,black,chestplate ,yellow,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,pink pistol,none,none
1197,spacebud #1197,lion,blue,joking,background,green,belt,none,blue,none,none,covered helmet,n/a,gloves,purple,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1198,spacebud #1198,cat,black,happy,background,dark,belt,pipe,green,chestplate ,orange,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,flowers,none
1199,spacebud #1199,ape,orange,superior,background,dark,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1200,spacebud #1200,cat,red,angry,background,green,belt,none,none,chestplate ,purple,none,n/a,gloves,pink,star,star suit,none,yellow,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,4,none,none,anchor
1201,spacebud #1201,dino,classic,classic,special background,blue circular gradient,belt,none,none,chestplate ,blue,none,n/a,gloves,blue,classic,none,none,classic,none,none,special background,amulet,left hand,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,amulet,none,none
1202,spacebud #1202,cat,yellow,sad,background,blue,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1203,spacebud #1203,dog,red,joking,background,purple,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,4,none,none,anchor
1204,spacebud #1204,ape,purple,shy,background,dark,belt,pipe,black,none,none,covered helmet,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,revolver,none
1205,spacebud #1205,dog,black,angry,background,cyan,belt,pipe,red,chestplate ,purple,covered helmet,classic,gloves,black,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1206,spacebud #1206,tiger,yellow,happy,background,green,belt,pipe,black,chestplate ,blue,none,n/a,gloves,black,classic,none,none,classic,none,wool boots,none,amulet,neck,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none
1207,spacebud #1207,robot,yellow,laughing,background,cyan,belt,none,none,chestplate ,blue,none,n/a,gloves,red,star,star suit,none,blue,none,none,none,none,n/a,none,none,ski goggles,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,classic sword,none
1208,spacebud #1208,tiger,red,sad,background,purple,belt,pipe,light,chestplate ,red,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,pink cardano coin,none,none
1209,spacebud #1209,cat,yellow,joking,background,green,belt,pipe,purple,chestplate ,red,none,n/a,gloves,red,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1210,spacebud #1210,parrot,black,classic,background,purple,belt,none,cyan,none,none,covered helmet,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,classic,none,n/a,none,none,classic,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,classic blue pistol,none,none
1211,spacebud #1211,alien,green,happy,background,dark,belt,none,none,chestplate ,purple,covered helmet,classic,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1212,spacebud #1212,dog,white,happy,special background,orange gradient,belt,pipe,black,none,none,covered helmet,n/a,gloves,purple,camo,none,camo suit,red,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,axe,none
1213,spacebud #1213,lion,brown,angry,special background,blue circular gradient,none,none,none,chestplate ,orange,none,n/a,gloves,black,classic,none,none,classic,none,none,special background,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,pistol,classic,none,n/a,none,none,classic,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic blue pistol,none,none
1214,spacebud #1214,ape,brown,angry,background,purple,belt,pipe,light,chestplate ,red,covered helmet,classic,gloves,light,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,revolver,none
1215,spacebud #1215,lion,gray,amazed,background,purple,belt,pipe,purple,chestplate ,red,covered helmet,classic,gloves,green,star,star suit,none,red,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1216,spacebud #1216,dog,white,happy,background,green,none,none,none,chestplate ,blue,covered helmet,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1217,spacebud #1217,tiger,blue,angry,background,dark,belt,none,none,chestplate ,red,none,n/a,gloves,blue,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1218,spacebud #1218,ape,blue,angry,background,green,belt,none,none,chestplate ,purple,covered helmet,classic,gloves,blue,camo,none,camo suit,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,pink,hockey stick,none,none,none,none,none,none,none,none,none,none,none,6,pink harpoon,hockey stick,none
1219,spacebud #1219,robot,pink,happy,background,cyan,belt,pipe,red,chestplate ,purple,covered helmet,classic,gloves,purple,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none
1220,spacebud #1220,tiger,orange,sad,background,green,belt,pipe,green,chestplate ,red,none,n/a,gloves,red,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,flag,classic sword,none
1221,spacebud #1221,ape,orange,shy,background,blue,none,none,none,chestplate ,green,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none
1222,spacebud #1222,tiger,blue,happy,background,purple,none,none,none,chestplate ,orange,covered helmet,classic,gloves,black,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1223,spacebud #1223,ape,blue,superior,background,green,belt,none,none,chestplate ,blue,none,n/a,gloves,blue,star,star suit,none,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1224,spacebud #1224,ape,black,shy,background,blue,belt,none,none,chestplate ,orange,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1225,spacebud #1225,cat,black,angry,background,blue,belt,none,none,none,none,none,n/a,gloves,light,camo,none,camo suit,green,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,flowers,none,none
1226,spacebud #1226,bear,white,greedy,background,purple,belt,pipe,purple,chestplate ,yellow,none,n/a,gloves,green,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,pink,none,none,none,none,none,none,none,none,none,none,none,none,5,pink harpoon,none,none
1227,spacebud #1227,lion,gray,joking,background,green,belt,pipe,light,chestplate ,red,none,n/a,gloves,red,camo,none,camo suit,blue,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flowers,none,none
1228,spacebud #1228,frog,black,classic,background,cyan,belt,pipe,purple,chestplate ,blue,covered helmet,classic,gloves,purple,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,flowers,none
1229,spacebud #1229,cat,gray,angry,special background,blue gradient,belt,pipe,purple,none,none,covered helmet,n/a,gloves,purple,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1230,spacebud #1230,parrot,mint,classic,special background,blue circular gradient,belt,none,none,chestplate ,red,none,n/a,gloves,black,star,star suit,none,black,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,axe,none
1231,spacebud #1231,cat,gray,sad,background,purple,belt,pipe,light,chestplate ,blue,covered helmet,classic,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none
1232,spacebud #1232,robot,pink,laughing,background,blue,belt,pipe,cyan,none,none,covered helmet,n/a,gloves,pink,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none
1233,spacebud #1233,robot,black,confused,background,cyan,belt,none,red,none,none,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none
1234,spacebud #1234,alien,red,joking,background,purple,belt,none,purple,none,none,none,n/a,gloves,red,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,baguette,none,none,none,3,baguette,none,none
