_key,SpaceBud #,Type,Type Color,Emotion,Background,Background_Color,Belt,Belt_Pipe,Belt_Pipe_Color,chestplate ,Chestplate_Color,Covered_Helmet,Covered_Helmet_Color,Gloves,Gloves_Color,Suit,Star_Suit,Camo_Suit,Suit_Color,Watch,Wool_Boots,Special_Background,Amulet,Amulet_Position,Virtual_Reality,Eye_Patch,Ski_Goggles,Snorkel,X-Ray,Sword,Sword_Color,Sun_Glasses,Revolver,Jetpack,Backpack,Pistol,Pistol_Color,Umbrella,Umbrella_Color,Flag,Cardano_Coin,Cardano_Coin_Color,Flowers,Axe,Harpoon,Harpoon_Color,Hockey_Stick,Bazooka,Anchor,Arc,Wine,Jo-Jo,Blaster,Lamp_Fish,Baguette,Candle,Binoculars,SPO,gadget_count,left_hand,right_hand,both_hands,easter_egg
691,spacebud #691,arcane,red,classic,special background,blue star gradient,belt,none,green,none,none,covered helmet,n/a,gloves,red,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,pink pistol,none,none,n/a
692,spacebud #692,robot,orange,confused,background,cyan,belt,none,purple,none,none,covered helmet,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
693,spacebud #693,dog,light,joking,background,dark,belt,none,none,chestplate ,yellow,covered helmet,classic,gloves,pink,camo,none,camo suit,red,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,pink,none,none,none,none,none,none,none,none,none,none,none,none,5,pink harpoon,none,none,n/a
694,spacebud #694,lion,blue,joking,background,cyan,belt,pipe,cyan,chestplate ,purple,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
695,spacebud #695,dog,blue,joking,background,cyan,belt,pipe,blue,chestplate ,purple,covered helmet,classic,gloves,red,camo,none,camo suit,light,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
696,spacebud #696,bear,panda,greedy,background,cyan,belt,none,none,chestplate ,green,covered helmet,classic,gloves,black,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,classic sword,none,greedy
697,spacebud #697,arcane,red,classic,background,green,belt,none,pink,none,none,covered helmet,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
698,spacebud #698,rhino,classic,classic,background,green,belt,pipe,light,none,none,none,n/a,gloves,pink,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,n/a,none,none,none,n/a,hockey stick,none,none,none,none,none,none,none,none,none,none,none,4,pink pistol,hockey stick,none,n/a
699,spacebud #699,cat,black,sad,special background,blue circular gradient,belt,none,none,chestplate ,green,covered helmet,classic,gloves,blue,star,star suit,none,black,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
700,spacebud #700,arcane,purple,classic,background,green,belt,pipe,red,chestplate ,yellow,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,3,none,none,arc,n/a
701,spacebud #701,ape,purple,shy,background,cyan,belt,pipe,black,chestplate ,orange,none,n/a,gloves,black,camo,none,camo suit,light,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
702,spacebud #702,dog,blue,joking,background,dark,belt,none,green,none,none,none,n/a,gloves,light,camo,none,camo suit,light,watch,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
703,spacebud #703,bear,red,greedy,background,cyan,none,none,none,none,none,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,flag,none,greedy
704,spacebud #704,shark,gray,classic,background,purple,belt,none,none,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,classic,none,none,none,n/a,hockey stick,none,none,none,none,none,none,none,none,none,none,none,5,classic gold cardano coin,hockey stick,none,hockeybudz
705,spacebud #705,shark,blue,classic,background,purple,belt,none,purple,none,none,none,n/a,gloves,red,camo,none,camo suit,brown,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
706,spacebud #706,bear,red,joking,background,purple,belt,pipe,black,chestplate ,orange,covered helmet,classic,gloves,pink,camo,none,camo suit,purple,none,wool boots,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,none,none,none,n/a
707,spacebud #707,parrot,mint,classic,background,cyan,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
708,spacebud #708,alien,yellow,angry,background,blue,belt,none,red,none,none,covered helmet,n/a,gloves,blue,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
709,spacebud #709,parrot,blue,classic,background,cyan,belt,none,purple,none,none,none,n/a,gloves,pink,classic,none,none,pink,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
710,spacebud #710,frog,purple,classic,background,blue,belt,none,none,chestplate ,purple,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,4,none,none,arc,n/a
711,spacebud #711,cat,yellow,happy,background,green,belt,none,green,none,none,none,n/a,gloves,red,camo,none,camo suit,blue,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,umbrella,blue,none,none,pink,none,none,harpoon,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,pink harpoon,blue umbrella,none,n/a
712,spacebud #712,ape,brown,shy,background,green,belt,none,pink,none,none,none,n/a,gloves,red,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
713,spacebud #713,cat,black,joking,background,dark,belt,none,none,chestplate ,orange,none,n/a,gloves,black,star,star suit,none,red,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flag,none,none,n/a
714,spacebud #714,dog,light,happy,background,dark,belt,pipe,light,chestplate ,blue,covered helmet,classic,gloves,purple,classic,none,none,pink,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,backpack,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,none,flag,none,n/a
715,spacebud #715,dog,white,angry,background,dark,belt,none,none,chestplate ,purple,none,n/a,gloves,black,camo,none,camo suit,blue,none,none,none,none,n/a,none,none,none,none,none,sword,ice,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,frozen sword,none,none,mtfbwya
716,spacebud #716,alien,pink,angry,background,green,belt,none,none,chestplate ,yellow,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
717,spacebud #717,bear,white,joking,background,green,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
718,spacebud #718,cat,red,joking,background,purple,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,light,star,star suit,none,black,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
719,spacebud #719,shark,blue,classic,background,cyan,belt,none,none,chestplate ,yellow,covered helmet,classic,gloves,green,camo,none,camo suit,blue,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,baguette,none,none,none,5,baguette,none,none,n/a
720,spacebud #720,lion,brown,serious,background,green,belt,none,none,chestplate ,purple,covered helmet,classic,gloves,pink,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,umbrella,blue,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,lamp fish,none,none,none,none,6,none,blue umbrella,none,n/a
721,spacebud #721,dog,blue,happy,background,cyan,none,none,none,chestplate ,blue,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,candle,none,none,2,candle,none,none,n/a
722,spacebud #722,shark,blue,classic,background,dark,belt,pipe,black,none,none,covered helmet,n/a,gloves,light,camo,none,camo suit,red,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
723,spacebud #723,alien,purple,happy,background,blue,belt,none,none,chestplate ,purple,covered helmet,classic,gloves,green,camo,none,camo suit,brown,none,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
724,spacebud #724,lion,light,angry,background,blue,belt,none,none,chestplate ,green,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
725,spacebud #725,tiger,yellow,joking,special background,purple fade,belt,pipe,light,chestplate ,blue,covered helmet,classic,gloves,light,classic,none,none,classic,watch,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
726,spacebud #726,dog,light,joking,background,green,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
727,spacebud #727,frog,black,classic,background,green,belt,pipe,cyan,chestplate ,yellow,covered helmet,classic,gloves,black,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
728,spacebud #728,ape,purple,angry,background,cyan,belt,pipe,black,none,none,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
729,spacebud #729,tiger,red,sad,background,purple,belt,pipe,black,none,none,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,umbrella,purple,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,purple umbrella,none,n/a
730,spacebud #730,robot,white,laughing,background,purple,belt,pipe,light,chestplate ,yellow,none,n/a,gloves,red,classic,none,none,pink,watch,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,pink,none,none,none,none,none,none,none,none,none,none,none,none,5,pink harpoon,none,none,n/a
731,spacebud #731,cat,blue,sad,background,blue,belt,pipe,red,chestplate ,yellow,none,n/a,gloves,blue,star,star suit,none,yellow,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,lamp fish,none,none,none,none,5,none,revolver,none,n/a
732,spacebud #732,tiger,yellow,angry,background,purple,belt,none,blue,none,none,covered helmet,n/a,gloves,green,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
733,spacebud #733,ape,blue,angry,background,green,belt,pipe,red,chestplate ,red,none,n/a,gloves,pink,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,4,none,none,arc,n/a
734,spacebud #734,bear,black,angry,background,cyan,belt,none,none,chestplate ,orange,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
735,spacebud #735,cat,pink,happy,background,green,belt,pipe,light,chestplate ,red,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,pink pistol,none,none,n/a
736,spacebud #736,ape,black,superior,background,dark,belt,pipe,blue,chestplate ,yellow,none,n/a,gloves,blue,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,flag,none,n/a
737,spacebud #737,arcane,green,classic,background,cyan,belt,pipe,cyan,chestplate ,blue,none,n/a,gloves,purple,star,star suit,none,red,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,revolver,none,starcane
738,spacebud #738,arcane,red,classic,background,green,belt,none,none,chestplate ,red,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
739,spacebud #739,parrot,black,classic,background,blue,belt,pipe,blue,chestplate ,red,covered helmet,n/a,gloves,light,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,jetpack,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
740,spacebud #740,cat,blue,joking,background,green,belt,pipe,black,chestplate ,orange,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,x-ray,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic sword,none,none,n/a
741,spacebud #741,ape,purple,shy,background,dark,belt,pipe,purple,chestplate ,green,none,n/a,gloves,green,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,hockey stick,none,none,none,none,none,none,none,none,none,none,none,5,none,hockey stick,none,n/a
742,spacebud #742,parrot,mint,classic,background,purple,belt,none,none,chestplate ,yellow,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
743,spacebud #743,wolf,classic,classic,background,purple,belt,none,none,chestplate ,yellow,none,n/a,gloves,green,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,sword,fire,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flaming sword,none,none,mtfbwya
744,spacebud #744,arcane,green,classic,background,cyan,none,none,none,chestplate ,green,covered helmet,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
745,spacebud #745,tiger,red,sad,background,cyan,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,classic sword,none,n/a
746,spacebud #746,robot,orange,confused,background,dark,belt,pipe,black,chestplate ,green,none,n/a,gloves,red,camo,none,camo suit,light,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,revolver,none,n/a
747,spacebud #747,alien,green,angry,background,dark,belt,none,none,chestplate ,red,covered helmet,classic,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
748,spacebud #748,ape,orange,shy,background,dark,belt,none,cyan,none,none,covered helmet,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,flag,none,n/a
749,spacebud #749,tiger,yellow,happy,background,blue,belt,pipe,green,chestplate ,purple,covered helmet,classic,gloves,light,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,revolver,none,none,n/a
750,spacebud #750,dog,black,angry,background,purple,belt,pipe,light,chestplate ,blue,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flowers,none,none,n/a
751,spacebud #751,alien,red,amazed,background,green,belt,pipe,blue,chestplate ,green,covered helmet,classic,gloves,blue,classic,none,none,classic,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
752,spacebud #752,frog,blue,classic,background,blue,belt,none,pink,none,none,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,classic sword,none,none,n/a
753,spacebud #753,alien,pink,angry,background,green,belt,none,none,chestplate ,yellow,none,n/a,gloves,pink,star,star suit,none,black,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,revolver,jetpack,none,pistol,pink,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,7,pink pistol,revolver,none,n/a
754,spacebud #754,frog,orange,classic,background,purple,belt,pipe,red,chestplate ,green,none,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,blaster,none,none,none,none,none,3,blaster,none,none,n/a
755,spacebud #755,lion,pink,amazed,background,green,belt,none,none,chestplate ,orange,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,sword,fire,none,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,flaming sword,none,none,mtfbwya
756,spacebud #756,shark,blue,classic,background,dark,belt,none,none,chestplate ,red,covered helmet,classic,gloves,blue,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,pink cardano coin,none,none,n/a
757,spacebud #757,dog,white,happy,background,blue,belt,none,none,chestplate ,red,covered helmet,classic,gloves,green,classic,none,none,pink,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,classic,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic blue pistol,none,none,n/a
758,spacebud #758,lion,gray,serious,background,green,belt,none,purple,none,none,none,n/a,gloves,pink,camo,none,camo suit,blue,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
759,spacebud #759,arcane,purple,classic,background,cyan,none,none,none,none,none,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
760,spacebud #760,tiger,red,joking,background,purple,belt,pipe,blue,chestplate ,red,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
761,spacebud #761,cat,black,happy,background,blue,belt,none,red,none,none,covered helmet,n/a,gloves,red,camo,none,camo suit,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
762,spacebud #762,bear,panda,greedy,background,blue,belt,none,none,chestplate ,red,covered helmet,classic,gloves,pink,camo,none,camo suit,brown,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,greedy
763,spacebud #763,tiger,orange,sad,background,cyan,belt,none,none,chestplate ,yellow,covered helmet,classic,gloves,blue,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,none,pistol,classic,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,classic blue pistol,none,none,n/a
764,spacebud #764,robot,black,laughing,background,cyan,none,none,none,chestplate ,purple,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
765,spacebud #765,cat,blue,sad,special background,blue circular gradient,belt,none,none,chestplate ,blue,covered helmet,classic,gloves,blue,camo,none,camo suit,purple,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,revolver,none,none,n/a
766,spacebud #766,robot,yellow,angry,background,cyan,none,none,none,chestplate ,orange,covered helmet,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,hockey stick,none,none,none,none,none,none,none,none,none,none,none,4,none,hockey stick,none,n/a
767,spacebud #767,ape,brown,angry,special background,blue gradient,belt,none,none,chestplate ,purple,none,n/a,gloves,light,classic,none,none,classic,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,4,none,none,anchor,n/a
768,spacebud #768,cat,yellow,joking,background,dark,belt,pipe,green,none,none,covered helmet,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
769,spacebud #769,fish,pink,classic,background,purple,belt,none,none,chestplate ,green,none,n/a,gloves,green,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,sword,classic,none,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,classic sword,none,n/a
770,spacebud #770,arcane,purple,classic,background,blue,belt,none,none,chestplate ,yellow,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,umbrella,purple,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,purple umbrella,none,n/a
